shooter_id,goalie_id,hex_id,time_id,strength_state,goals,shots,offset_logit_xg,x_mean,y_mean
8470613.0,8478872.0,2_-2,2024-11,EVEN,0,1,-3.8973612858519817,34.0,-32.0
8470613.0,8478872.0,4_-2,2024-11,PP,0,1,-1.5005366366077775,84.0,-7.0
8470613.0,8478916.0,2_-3,2024-10,EVEN,0,1,-3.9176342155426633,50.0,-41.0
8470613.0,8479292.0,2_-2,2024-12,EVEN,0,1,-3.7526874286952276,42.0,-26.0
8470613.0,8479292.0,2_-2,2024-12,PP,0,1,-3.4851348343180275,45.0,-25.0
8470613.0,8479312.0,1_-2,2025-03,EVEN,0,1,-4.329565055079979,26.0,-35.0
8470613.0,8479312.0,2_-1,2025-03,EVEN,0,1,-3.3725194928888,39.0,6.0
8470613.0,8479312.0,2_-2,2025-03,EVEN,0,1,-4.069678285975415,40.0,-35.0
8470613.0,8479361.0,2_-2,2025-01,EVEN,0,1,-3.876794175119465,35.0,-37.0
8470613.0,8479361.0,2_-3,2025-04,EVEN,0,1,-3.787971807205713,56.0,-34.0
8470613.0,8479406.0,1_-2,2025-01,EVEN,0,1,-3.7354488546823994,30.0,-30.0
8470613.0,8479406.0,1_-2,2025-02,EVEN,0,1,-3.7160336997660814,31.0,-26.0
8470613.0,8479406.0,2_-1,2025-02,EVEN,0,1,-3.294487800207977,37.0,1.0
8470613.0,8479406.0,3_-2,2025-02,EVEN,0,1,-3.4486792956637826,60.0,-29.0
8470613.0,8479496.0,3_-1,2025-03,PP,0,1,-2.2180943206713586,65.0,21.0
8470613.0,8479496.0,3_-2,2025-03,EVEN,0,1,-2.6122193205260476,74.0,-20.0
8470613.0,8479979.0,2_-1,2025-01,EVEN,0,1,-3.239724458134735,36.0,0.0
8470613.0,8479979.0,2_-2,2024-11,EVEN,0,1,-3.9100856671467854,46.0,-32.0
8470613.0,8479979.0,2_0,2024-11,EVEN,0,1,-3.2931144785664466,40.0,13.0
8470613.0,8480045.0,1_-2,2025-01,EVEN,0,1,-4.130144123486975,27.0,-35.0
8470613.0,8480045.0,2_-3,2025-01,EVEN,0,1,-2.7979502699874246,50.0,-38.0
8470613.0,8480045.0,2_0,2025-01,PP,0,1,-3.872581261939326,42.0,26.0
8470613.0,8480193.0,3_0,2025-01,EVEN,0,1,-3.8835499475161233,60.0,32.0
8470613.0,8480280.0,1_-2,2024-10,EVEN,0,1,-3.9241542853282865,29.0,-34.0
8470613.0,8480280.0,2_-2,2025-04,EVEN,0,1,-3.7364118180941412,36.0,-37.0
8470613.0,8480280.0,4_-3,2025-04,PP,0,1,-3.0828488050970946,86.0,-22.0
8470613.0,8480313.0,2_-1,2025-05,EVEN,0,2,-3.2230997192401993,37.5,-2.5
8470613.0,8480313.0,2_-2,2025-05,EVEN,0,1,-3.1279854468716315,45.0,-24.0
8470613.0,8480843.0,0_-2,2025-03,PK,0,1,-3.8373782156680876,8.0,-39.0
8470613.0,8480843.0,2_-2,2025-03,EVEN,0,1,-3.5408159970781936,34.0,-39.0
8470613.0,8480843.0,3_-3,2025-01,EVEN,0,1,-3.882582397311427,57.0,-39.0
8470613.0,8480981.0,1_-2,2024-11,EVEN,0,1,-2.6834059014911453,30.0,-36.0
8470613.0,8480981.0,2_-2,2024-11,EVEN,0,1,-3.386560362422765,47.0,-30.0
8470613.0,8480981.0,2_-3,2024-10,EVEN,0,1,-3.944720963295546,53.0,-40.0
8470613.0,8480981.0,3_-3,2024-10,PP,0,1,-3.0946185759390845,57.0,-41.0
8470613.0,8481033.0,3_-3,2024-11,EVEN,0,1,-2.8151149618622657,72.0,-32.0
8470613.0,8481035.0,1_-2,2025-03,EVEN,0,1,-3.9289958122943007,33.0,-38.0
8470613.0,8481519.0,2_-2,2024-09,EVEN,0,1,-3.885432067911929,40.0,-30.0
8470613.0,8482446.0,2_-2,2024-10,EVEN,0,1,-4.004295766494773,36.0,-37.0
8470613.0,8482446.0,2_-3,2024-10,EVEN,0,1,-3.877812389842892,51.0,-40.0
8470613.0,8482783.0,2_-1,2024-11,PK,0,1,-2.5569112692038223,47.0,10.0
8470613.0,8482783.0,2_-2,2024-11,EVEN,0,1,-3.8377685957908736,37.0,-41.0
8470613.0,8482783.0,2_-2,2024-11,PK,0,1,-3.5826503616765915,46.0,-35.0
8470613.0,8482783.0,3_-3,2024-11,EVEN,0,1,-3.79717997103535,64.0,-41.0
8470613.0,8482821.0,4_-2,2025-01,EVEN,0,1,-2.0882291564116326,95.0,-6.0
8470613.0,8484312.0,2_-3,2025-03,EVEN,0,1,-4.0031466399443385,53.0,-41.0
8470621.0,8470594.0,3_-2,2024-11,PK,0,1,-2.893782771734326,77.0,-4.0
8470621.0,8470594.0,4_-2,2024-11,PK,0,2,-1.783751083353537,82.5,-1.0
8470621.0,8473503.0,0_-2,2025-01,EVEN,0,1,-4.4158292277711935,8.0,-40.0
8470621.0,8473503.0,4_-2,2025-01,EVEN,0,1,-1.7272973098758584,82.0,4.0
8470621.0,8474596.0,2_-2,2025-03,EVEN,0,1,-3.071560641620001,50.0,-24.0
8470621.0,8474596.0,2_0,2024-11,EVEN,0,1,-3.1570959680441133,45.0,23.0
8470621.0,8475311.0,0_0,2024-12,EVEN,0,1,-3.3435981390326117,6.0,10.0
8470621.0,8475311.0,3_-1,2025-01,PK,0,1,-1.5422288440909506,67.0,1.0
8470621.0,8475311.0,3_-1,2025-04,EVEN,0,1,-1.441038386277052,71.0,22.0
8470621.0,8475311.0,3_-2,2025-04,EVEN,0,2,-1.6889112599795224,71.5,-4.0
8470621.0,8475311.0,4_-2,2025-04,EVEN,0,1,-2.3800904884609135,83.0,-5.0
8470621.0,8475311.0,4_-2,2025-04,PK,0,1,-1.8845148388526143,81.0,-18.0
8470621.0,8475683.0,1_-1,2025-06,PK,1,1,-2.758215607268193,32.0,3.0
8470621.0,8475683.0,3_-1,2025-06,EVEN,0,1,-1.4836358740892681,71.0,6.0
8470621.0,8475683.0,3_-2,2025-06,EVEN,0,1,-1.7931078050754128,77.0,3.0
8470621.0,8475683.0,3_-2,2025-06,PK,1,1,-1.086902216173961,70.0,-1.0
8470621.0,8475683.0,3_0,2025-06,EVEN,0,1,-3.787503967281939,68.0,32.0
8470621.0,8475683.0,4_-2,2025-06,EVEN,0,2,-1.9103192519018286,83.0,-5.0
8470621.0,8475683.0,4_-2,2025-06,PK,0,4,-2.213370469852109,81.75,3.25
8470621.0,8475683.0,4_-2,2025-06,PP,1,4,-2.0459918632284664,82.0,-0.75
8470621.0,8475809.0,3_-3,2024-11,EVEN,0,1,-2.9579746677132928,77.0,-27.0
8470621.0,8475831.0,3_-1,2024-09,PK,0,1,-1.8378506564759192,78.0,20.0
8470621.0,8475831.0,3_-3,2024-09,EVEN,0,1,-3.460911056095686,65.0,-30.0
8470621.0,8475831.0,4_-2,2024-09,EVEN,0,1,-2.361824766008681,80.0,-2.0
8470621.0,8475852.0,3_-2,2024-10,EVEN,0,1,-1.7656796485905775,76.0,1.0
8470621.0,8475852.0,4_-2,2024-10,EVEN,0,1,-2.460500031691509,86.0,-5.0
8470621.0,8475852.0,4_-3,2024-10,EVEN,0,1,-3.4943230316645373,89.0,-32.0
8470621.0,8475883.0,4_-2,2024-10,EVEN,0,1,-2.152655685344477,81.0,3.0
8470621.0,8475883.0,4_-2,2025-03,EVEN,1,4,-1.5684609858241503,83.25,0.5
8470621.0,8476412.0,2_-1,2025-04,EVEN,0,1,-1.8981849512985591,56.0,8.0
8470621.0,8476412.0,3_-3,2025-04,EVEN,0,1,-3.689941411638568,62.0,-31.0
