goalie_id,player_name,team,hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,irt_xg_sum,deviation,dev_per_shot
8474596,Jake Allen,NJD,1,0,22.5,12.99,14,0,0.442856017,0.3709592114387542,0.371,0.0265
8474596,Jake Allen,NJD,1,1,22.5,38.97,11,0,0.644313189,0.551269729946627,0.5513,0.0501
8474596,Jake Allen,NJD,2,-3,45.0,-51.96,4,0,0.092296517,0.07767898849331634,0.0777,0.0194
8474596,Jake Allen,NJD,2,-2,45.0,-25.98,52,1,2.402986077,2.0048576938333946,1.0049,0.0193
8474596,Jake Allen,NJD,2,-1,45.0,0.0,55,1,3.290938249,2.737328372757901,1.7373,0.0316
8474596,Jake Allen,NJD,2,0,45.0,25.98,52,0,1.970570473,1.6478362459240028,1.6478,0.0317
8474596,Jake Allen,NJD,2,1,45.0,51.96,6,0,0.154414561,0.1297411481215904,0.1297,0.0216
8474596,Jake Allen,NJD,3,-3,67.5,-38.97,22,1,0.830638788,0.6938069991060676,-0.3062,-0.0139
8474596,Jake Allen,NJD,3,-2,67.5,-12.99,129,11,15.7849914006,13.135742179862852,2.1357,0.0166
8474596,Jake Allen,NJD,3,-1,67.5,12.99,109,5,11.1439042797,9.269319180217346,4.2693,0.0392
8474596,Jake Allen,NJD,3,0,67.5,38.97,39,0,1.311485243,1.0969188808871648,1.0969,0.0281
8474596,Jake Allen,NJD,4,-3,90.0,-25.98,7,0,0.45933916199999997,0.38172285044678217,0.3817,0.0545
8474596,Jake Allen,NJD,4,-2,90.0,0.0,154,22,21.456527613,17.85030893197305,-4.1497,-0.0269
8474596,Jake Allen,NJD,4,-1,90.0,25.98,31,0,2.59205701,2.152230876375507,2.1522,0.0694
8474596,Jake Allen,NJD,4,0,90.0,51.96,2,0,0.042289095,0.03564318770498112,0.0356,0.0178
8475311,Darcy Kuemper,LAK,0,-2,0.0,-51.96,1,0,0.007875291,0.006754265487630716,0.0068,0.0068
8475311,Darcy Kuemper,LAK,0,-1,0.0,-25.98,4,0,0.123937757,0.10352084238580794,0.1035,0.0259
8475311,Darcy Kuemper,LAK,0,0,0.0,0.0,3,0,0.07343904300000001,0.061714192614854356,0.0617,0.0206
8475311,Darcy Kuemper,LAK,0,1,0.0,25.98,2,0,0.021197263,0.018082650111337722,0.0181,0.0091
8475311,Darcy Kuemper,LAK,1,-2,22.5,-38.97,23,0,0.9324528409999999,0.7966045590374985,0.7966,0.0346
8475311,Darcy Kuemper,LAK,1,-1,22.5,-12.99,17,0,0.7959249190000001,0.6657592463799722,0.6658,0.0392
8475311,Darcy Kuemper,LAK,1,0,22.5,12.99,13,2,0.391460761,0.32801436599290357,-1.672,-0.1286
8475311,Darcy Kuemper,LAK,1,1,22.5,38.97,8,0,0.161919429,0.13656836968777888,0.1366,0.0171
