player_name,team,position,shooter_id,mu_theta,theta_latest,theta_min,theta_max,shots_taken,goals_actual,goals_xg_only,fsax_raw,goalie_difficulty_adj,fsax
Daemon Hunt,MIN,D,8482094,-4.6375976836543487e-08,-0.0039649661630392075,-0.003965374082326889,-0.0025008113589137793,24.0,0.0,1.292,-1.292,-0.007,-0.0038
Tyler Kleven,OTT,D,8482095,-0.00016598305955994874,-0.008095009252429008,-0.008095009252429008,-0.005978552624583244,103.0,1.0,4.177,-3.177,0.008,-0.0255
Eamon Powell,,D,8482096,-2.2539451549619116e-07,-7.794087287038565e-05,-0.00015690394502598792,-7.746281335130334e-05,2.0,0.0,0.143,-0.143,0.001,-0.0
Jack Quinn,BUF,R,8482097,7.265887688845396e-06,-0.013244224712252617,-0.013244224712252617,-0.007804101798683405,220.0,14.0,20.861,-6.861,0.102,-0.1743
Zachary Uens,,D,8482098,-4.141746501318266e-09,0.0002192214597016573,0.00014003529213368893,0.0002194385015172884,,,,,,
Alexander Nikishin,CAR,D,8482100,5.2926512950079996e-08,0.0045851124450564384,0.0033922356087714434,0.0046421536244452,158.0,8.0,8.088,-0.088,-0.013,0.0253
Danil Gushchin,COL,L,8482101,-3.9660808397457004e-05,-0.0005982996663078666,-0.000674036389682442,-0.0005982996663078666,4.0,0.0,0.363,-0.363,0.004,-0.0002
Vasily Ponomarev,PIT,C,8482102,5.555723419092828e-06,0.00022278365213423967,0.00014338431356009096,0.00022278365213423967,,,,,,
Ozzy Wiesblatt,NSH,C,8482103,-1.3542255317133822e-08,-0.0029167865868657827,-0.0029185647144913673,-0.0013142746174708009,40.0,3.0,4.298,-1.298,-0.009,-0.0073
Jake Sanderson,OTT,D,8482105,1.2567804219543177e-07,0.00588082242757082,0.004183107987046242,0.006005334667861462,210.0,11.0,11.301,-0.301,-0.016,0.0474
Cross Hanas,,L,8482106,-3.795925977101433e-06,-0.00019091818830929697,-0.0002637404832057655,-0.00019091818830929697,1.0,0.0,0.19,-0.19,0.001,-0.0001
Mike Benning,FLA,D,8482107,3.2850573461473687e-06,0.005715030245482922,0.005563618149608374,0.005715989973396063,10.0,3.0,0.988,2.012,0.008,0.0039
Alexis Lafrenière,NYR,L,8482109,-1.724464624430766e-07,-0.009831966832280159,-0.010053722187876701,-0.008199312724173069,189.0,12.0,18.692,-6.692,0.037,-0.1353
Dawson Mercer,NJD,C,8482110,-2.3350519029463612e-07,-0.013917258009314537,-0.013917258009314537,-0.007488326635211706,175.0,11.0,17.289,-6.289,-0.079,-0.1531
Justin Barron,NSH,D,8482111,6.069999471947085e-07,-0.0067816004157066345,-0.0067816004157066345,-0.005082240793853998,39.0,0.0,2.57,-2.57,-0.021,-0.0123
Anton Lundell,FLA,C,8482113,-6.465120804932667e-06,0.009712157770991325,0.006025373004376888,0.009712157770991325,202.0,19.0,20.016,-1.016,-0.059,0.1181
Tim Stützle,OTT,C,8482116,-1.609456739970483e-05,0.021758276969194412,0.01520268339663744,0.021875932812690735,213.0,27.0,24.986,2.014,-0.086,0.361
Lukas Reichel,VAN,L,8482117,-1.3957366817862749e-08,-0.0024845018051564693,-0.002517934422940016,-0.001893192296847701,33.0,2.0,3.36,-1.36,0.041,-0.0062
Sam Colangelo,ANA,R,8482118,3.0124332624836825e-05,0.0035897442139685154,0.0033640465699136257,0.0037991043645888567,14.0,2.0,0.851,1.149,0.005,0.0023
Jacob Truscott,,D,8482119,-1.4421981830992081e-08,-0.0005266374791972339,-0.0005994999664835632,-0.000526420830283314,6.0,0.0,0.344,-0.344,0.003,-0.0002
Antonio Stranges,DAL,L,8482120,-0.00012698191858362406,0.0022321995347738266,0.002038719365373254,0.0022324156016111374,4.0,1.0,0.277,0.723,0.001,0.0004
Dylan Peterson,STL,C,8482121,-1.231635771148376e-08,0.00019576703198254108,0.00011660458403639495,0.00019599140796344727,1.0,0.0,0.011,-0.011,0.0,-0.0
Brock Faber,MIN,D,8482122,5.338469577509386e-07,0.023155735805630684,0.014047828502953053,0.023155735805630684,199.0,14.0,9.962,4.038,0.034,0.1528
Quinton Byfield,LAK,R,8482124,1.0542095907339899e-07,-0.004919793456792831,-0.006915194448083639,-0.004919576458632946,206.0,14.0,19.689,-5.689,0.085,-0.0917
Alexander Holtz,VGK,R,8482125,-2.1128421678895393e-07,-0.0040665436536073685,-0.004083255771547556,-0.003478082362562418,71.0,4.0,6.572,-2.572,0.024,-0.0197
Emil Andrae,PHI,D,8482126,-1.4940619053049886e-07,-0.006396331824362278,-0.006396331824362278,-0.0036891703493893147,54.0,2.0,4.249,-2.249,-0.001,-0.0169
Roni Hirvonen,TOR,C,8482130,-7.55702522781121e-09,0.0002192237152485177,0.0001400363544235006,0.00021944213949609548,,,,,,
Donovan Sebrango,FLA,D,8482131,2.792458886347049e-08,-0.0041771032847464085,-0.0041771032847464085,-0.00310627487488091,36.0,0.0,1.569,-1.569,0.002,-0.0047
Brett Berard,NYR,L,8482132,-5.4870604060397454e-08,-0.0039069075137376785,-0.003910044673830271,-0.0023882046807557344,29.0,1.0,2.422,-1.422,0.019,-0.0067
Thomas Bordeleau,STL,C,8482133,1.7390636486425137e-08,4.7515903133898973e-05,-3.165594534948468e-05,4.774412082042545e-05,2.0,0.0,0.082,-0.082,0.001,-0.0
Luke Tuch,MTL,L,8482134,-0.00015597093442920595,0.00021927013585809618,0.0001206437373184599,0.00021948927314952016,,,,,,
Jan Mysak,ANA,C,8482136,-2.9174309190693748e-08,1.9528859411366284e-05,-5.30543620698154e-05,2.0158302504569292e-05,2.0,0.0,0.091,-0.091,0.001,-0.0
Christoffer Sedoff,NSH,D,8482138,-1.7518749118039523e-08,0.00011309576075291261,3.798684338107705e-05,0.00011330869165249169,2.0,0.0,0.047,-0.047,0.001,-0.0
Daniel Torgersson,,L,8482139,2.489749931555707e-06,0.00021910264331381768,0.0001366424112347886,0.00021948511130176485,,,,,,
Lukas Cormier,VGK,D,8482141,-3.5676928291650256e-06,0.002361264545470476,0.0021830410696566105,0.002361264545470476,5.0,1.0,0.217,0.783,0.002,0.0004
Jamie Drysdale,PHI,D,8482142,2.4053781544353114e-07,7.46712030377239e-05,-0.0009514616685919464,0.00010125638800673187,127.0,6.0,7.755,-1.755,0.019,-0.0045
Ryan O'Rourke,,D,8482143,-4.300432454584779e-09,0.00014999753329902887,7.34718851163052e-05,0.00015021456056274474,1.0,0.0,0.032,-0.032,-0.0,-0.0
Jack Thompson,SJS,D,8482144,7.3173941927962005e-06,8.768339466769248e-05,1.702197187114507e-05,9.165232768282294e-05,2.0,0.0,0.06,-0.06,-0.0,-0.0
Mavrik Bourque,DAL,C,8482145,-5.5585951486136764e-06,0.00474417582154274,0.003215265227481723,0.0047471169382333755,149.0,13.0,14.15,-1.15,0.015,0.0384
Luke Evangelista,NSH,R,8482146,-5.402355895967048e-07,-0.024781206622719765,-0.024781206622719765,-0.016761498525738716,199.0,8.0,18.211,-10.211,-0.057,-0.2965
Jean-Luc Foudy,,C,8482147,-7.821209692338016e-06,0.00021881554857827723,0.00013636390212923288,0.00021963183826301247,,,,,,
Hendrix Lapierre,WSH,C,8482148,-3.344160290907894e-07,-0.012747329659759998,-0.012747329659759998,-0.009270654059946537,78.0,3.0,8.288,-5.288,-0.006,-0.0733
Cole Perfetti,WPG,C,8482149,0.00015422317665070295,-0.014246053993701935,-0.014332379214465618,-0.00961239542812109,158.0,8.0,14.631,-6.631,-0.042,-0.1471
