player_name,team,position,goalie_id,shots_faced,goals_actual,goals_xg_only,gsax_raw,shooter_adj,goals_model_predicted,gsax,sv_pct,xgsv_pct
Amir Miftakhov,CAR,G,8482501,49,9.0,5.6616411209106445,-3.34,-0.01,4.752803325653076,-0.04556341469287872,0.8163,0.8845
Aleksei Kolosov,PHI,G,8482783,110,11.0,9.406683921813965,-1.59,0.02,7.9157867431640625,-0.07132145762443542,0.9,0.9145
Artur Akhtyamov,TOR,G,8482515,181,16.0,16.12632942199707,0.13,0.04,13.592399597167969,-0.12195742130279541,0.9116,0.9109
Cayden Primeau,CAR,G,8480051,174,17.0,14.303342819213867,-2.7,-0.02,12.039929389953613,-0.15094009041786194,0.9023,0.9178
Carl Lindbom,VGK,G,8482761,371,28.0,30.20553207397461,2.21,0.08,25.402759552001953,-0.18441230058670044,0.9245,0.9186
Spencer Martin,NYR,G,8477484,218,20.0,19.574256896972656,-0.43,0.0,16.51685905456543,-0.21071720123291016,0.9083,0.9102
Lukas Dostal,ANA,G,8480843,2275,163.0,195.55908203125,32.56,0.05,163.0716552734375,-0.233932763338089,0.9284,0.914
Nikita Tolopilo,VAN,G,8484268,806,60.0,70.83184051513672,10.83,0.13,59.438232421875,-0.3243964910507202,0.9256,0.9121
Petr Mrazek,ANA,G,8475852,404,36.0,35.68067169189453,-0.32,0.03,30.212963104248047,-0.4930586814880371,0.9109,0.9117
Eric Comrie,WPG,G,8477480,1087,77.0,88.41635131835938,11.42,0.05,74.27879333496094,-0.5929945707321167,0.9292,0.9187
Anthony Stolarz,TOR,G,8476932,1006,72.0,81.4757080078125,9.48,0.03,68.46759033203125,-0.6137430667877197,0.9284,0.919
Calvin Pickard,EDM,G,8475717,729,60.0,65.99285888671875,5.99,0.06,55.67015075683594,-0.657188892364502,0.9177,0.9095
Jonas Johansson,TBL,G,8477992,1018,72.0,82.4345703125,10.43,0.01,69.3961410522461,-0.7328367233276367,0.9293,0.919
Frederik Andersen,CAR,G,8475883,1293,104.0,119.75657653808594,15.76,0.22,100.84957885742188,-0.9049049615859985,0.9196,0.9074
Samuel Montembeault,MTL,G,8478470,1007,84.0,92.85523223876953,8.86,0.07,78.30689239501953,-0.9142740964889526,0.9166,0.9078
