shooter_id,player_name,team,hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,irt_xg_sum,deviation,dev_per_shot
8474600,Roman Josi,NSH,2,0,45.0,25.98,1,0,0.03461127,0.04733478767003706,-0.0473,-0.0473
8474600,Roman Josi,NSH,3,-2,67.5,-12.99,1,0,0.08445479,0.08488538363384873,-0.0849,-0.0849
8474600,Roman Josi,NSH,3,-1,67.5,12.99,3,0,0.348188436,0.3129836117396086,-0.313,-0.1043
8474600,Roman Josi,NSH,3,0,67.5,38.97,1,0,0.06323805,0.0711555180535069,-0.0712,-0.0712
8474600,Roman Josi,NSH,4,-3,90.0,-25.98,1,0,0.052202597,0.061357288345042144,-0.0614,-0.0614
8474600,Roman Josi,NSH,4,-2,90.0,0.0,1,0,0.08496089,0.08575367765500555,-0.0858,-0.0858
8474612,Travis Hamonic,DET,4,-1,90.0,25.98,1,0,0.045584686,0.0569233159053636,-0.0569,-0.0569
8474641,Adam Henrique,EDM,3,-3,67.5,-38.97,1,0,0.023317164,0.03687532147159535,-0.0369,-0.0369
8474641,Adam Henrique,EDM,3,-2,67.5,-12.99,1,0,0.10401279,0.09980545038504572,-0.0998,-0.0998
8474641,Adam Henrique,EDM,3,-1,67.5,12.99,1,0,0.09415417,0.09209307226422966,-0.0921,-0.0921
8474641,Adam Henrique,EDM,3,0,67.5,38.97,1,0,0.015769234,0.028534528164560195,-0.0285,-0.0285
8474641,Adam Henrique,EDM,4,-2,90.0,0.0,3,0,0.40481817999999997,0.34819868392435227,-0.3482,-0.1161
8474679,Gustav Nyquist,WPG,2,-2,45.0,-25.98,1,0,0.060053106,0.06861267678795568,-0.0686,-0.0686
8474679,Gustav Nyquist,WPG,3,0,67.5,38.97,1,0,0.030504845,0.04428387681154353,-0.0443,-0.0443
8474679,Gustav Nyquist,WPG,4,-2,90.0,0.0,2,0,0.17916168999999998,0.1779287491160893,-0.1779,-0.089
8474716,Jared Spurgeon,MIN,2,-1,45.0,0.0,1,0,0.04362689,0.05629470177712526,-0.0563,-0.0563
8475149,Marcus Johansson,MIN,3,-2,67.5,-12.99,4,0,0.441579992,0.4083823085561175,-0.4084,-0.1021
8475149,Marcus Johansson,MIN,3,-1,67.5,12.99,1,0,0.1740617,0.13941717298143788,-0.1394,-0.1394
8475149,Marcus Johansson,MIN,3,0,67.5,38.97,1,0,0.025596913,0.039206541394110006,-0.0392,-0.0392
8475149,Marcus Johansson,MIN,4,-1,90.0,25.98,1,0,0.031232055,0.044704294724373005,-0.0447,-0.0447
8475151,Kyle Palmieri,NYI,3,-2,67.5,-12.99,1,1,0.064234175,0.07070103753738824,0.9293,0.9293
8475151,Kyle Palmieri,NYI,3,-1,67.5,12.99,2,0,0.24238824,0.21816887447976901,-0.2182,-0.1091
8475151,Kyle Palmieri,NYI,3,0,67.5,38.97,2,0,0.226851066,0.2097294454968432,-0.2097,-0.1048
8475151,Kyle Palmieri,NYI,4,-2,90.0,0.0,7,1,0.997665785,0.8580240813550488,0.142,0.0203
8475151,Kyle Palmieri,NYI,4,-1,90.0,25.98,5,0,0.423916336,0.42881631574531354,-0.4288,-0.0858
8475158,Ryan O'Reilly,NSH,1,-1,22.5,-12.99,1,0,0.023196995,0.03704423732056101,-0.037,-0.037
8475158,Ryan O'Reilly,NSH,3,-3,67.5,-38.97,1,0,0.121758595,0.10981811705250118,-0.1098,-0.1098
8475158,Ryan O'Reilly,NSH,3,-2,67.5,-12.99,3,0,0.38625571999999997,0.33884765692784463,-0.3388,-0.1129
8475158,Ryan O'Reilly,NSH,3,-1,67.5,12.99,1,0,0.20104967,0.1559943810731214,-0.156,-0.156
8475158,Ryan O'Reilly,NSH,4,-3,90.0,-25.98,1,0,0.017264647,0.03053299169474185,-0.0305,-0.0305
8475158,Ryan O'Reilly,NSH,4,-2,90.0,0.0,2,0,0.23363962,0.21427199519335718,-0.2143,-0.1072
8475166,John Tavares,TOR,3,-2,67.5,-12.99,11,1,1.593540445,1.3468031369226126,-0.3468,-0.0315
8475166,John Tavares,TOR,3,-1,67.5,12.99,5,1,0.4701320465,0.4462608622960719,0.5537,0.1107
8475166,John Tavares,TOR,3,0,67.5,38.97,2,0,0.159057546,0.16166688733502743,-0.1617,-0.0808
8475166,John Tavares,TOR,4,-2,90.0,0.0,9,3,1.18248825,1.0536161143084808,1.9464,0.2163
8475167,Victor Hedman,TBL,1,0,22.5,12.99,2,0,0.092870157,0.11600260557569662,-0.116,-0.058
8475167,Victor Hedman,TBL,2,-1,45.0,0.0,1,0,0.04847508,0.059647536151583684,-0.0596,-0.0596
8475167,Victor Hedman,TBL,2,0,45.0,25.98,1,0,0.044886563,0.05747832063466305,-0.0575,-0.0575
8475167,Victor Hedman,TBL,3,0,67.5,38.97,1,0,0.046726465,0.05783602246124543,-0.0578,-0.0578
8475168,Matt Duchene,DAL,3,-2,67.5,-12.99,3,1,0.221899813,0.23837783501060172,0.7616,0.2539
8475168,Matt Duchene,DAL,4,-2,90.0,0.0,1,0,0.14627562,0.12509033905456007,-0.1251,-0.1251
8475169,Evander Kane,VAN,2,-2,45.0,-25.98,2,1,0.046056797999999996,0.07274490213179759,0.9273,0.4636
8475169,Evander Kane,VAN,2,-1,45.0,0.0,1,0,0.037573323,0.050752859559213416,-0.0508,-0.0508
8475169,Evander Kane,VAN,2,0,45.0,25.98,1,1,0.048937246,0.06028409383630011,0.9397,0.9397
8475169,Evander Kane,VAN,3,-2,67.5,-12.99,2,0,0.100272578,0.12330269909077046,-0.1233,-0.0616
8475169,Evander Kane,VAN,4,-2,90.0,0.0,4,1,0.65317957,0.5338447514048151,0.4662,0.1166
8475170,Brayden Schenn,STL,3,-2,67.5,-12.99,4,0,0.30539004000000003,0.30698908703494376,-0.307,-0.0768
8475170,Brayden Schenn,STL,3,0,67.5,38.97,1,0,0.049713593,0.060991928898595935,-0.061,-0.061
8475170,Brayden Schenn,STL,4,-2,90.0,0.0,3,1,0.51184045,0.41825723685248967,0.5817,0.1939
8475171,Oliver Ekman-Larsson,TOR,1,-1,22.5,-12.99,1,0,0.04128295,0.05332699917976449,-0.0533,-0.0533
8475171,Oliver Ekman-Larsson,TOR,2,-2,45.0,-25.98,2,0,0.10026662,0.12127184135947365,-0.1213,-0.0606
8475171,Oliver Ekman-Larsson,TOR,2,-1,45.0,0.0,5,0,0.436058676,0.41254451645158025,-0.4125,-0.0825
8475171,Oliver Ekman-Larsson,TOR,2,0,45.0,25.98,1,0,0.032534715,0.04559217463816882,-0.0456,-0.0456
8475171,Oliver Ekman-Larsson,TOR,3,-2,67.5,-12.99,1,0,0.07782226,0.08219475495667469,-0.0822,-0.0822
8475172,Nazem Kadri,CGY,0,0,0.0,0.0,1,0,0.52854526,0.32573873740189113,-0.3257,-0.3257
8475172,Nazem Kadri,CGY,2,-2,45.0,-25.98,2,0,0.12535734,0.14036379456773249,-0.1404,-0.0702
8475172,Nazem Kadri,CGY,2,-1,45.0,0.0,1,0,0.1124035,0.10279286760725823,-0.1028,-0.1028
8475172,Nazem Kadri,CGY,3,-3,67.5,-38.97,2,0,0.26223037000000005,0.23208438183224925,-0.2321,-0.116
8475172,Nazem Kadri,CGY,3,-2,67.5,-12.99,12,0,1.312738652,1.2060190358942122,-1.206,-0.1005
8475172,Nazem Kadri,CGY,3,-1,67.5,12.99,1,0,0.059557945,0.0680496145758631,-0.068,-0.068
8475172,Nazem Kadri,CGY,3,0,67.5,38.97,1,0,0.037229035,0.05051563498690542,-0.0505,-0.0505
8475172,Nazem Kadri,CGY,4,-3,90.0,-25.98,2,0,0.168330455,0.17023917458140786,-0.1702,-0.0851
8475172,Nazem Kadri,CGY,4,-2,90.0,0.0,4,0,0.377773659,0.36686174241294894,-0.3669,-0.0917
8475181,Nick Leddy,SJS,4,-3,90.0,-25.98,1,0,0.027777351,0.041977293733183735,-0.042,-0.042
8475184,Chris Kreider,ANA,2,-1,45.0,0.0,1,0,0.0978279,0.09624976749231025,-0.0962,-0.0962
8475184,Chris Kreider,ANA,3,-2,67.5,-12.99,2,0,0.29414659,0.25158646029342074,-0.2516,-0.1258
8475184,Chris Kreider,ANA,3,-1,67.5,12.99,1,0,0.19842678,0.15469141679994636,-0.1547,-0.1547
